ID,Age,MonthlyActiveDays,AvgSessionDuration,WorkoutsCompleted,SocialEngagementScore,SubscriptionTier,InAppPurchases,DeviceType,Churned,LifetimeValue,Cluster
54,34,25,69,26,84,Premium,392.59,Android,0,1375.51,Cluster 1
55,43,6,36,6,19,Premium,22.49,iOS,0,54.1,Cluster 2
56,37,25,84,23,71,Premium,135.24,Android,0,1966.32,Cluster 1
57,38,26,70,30,82,Basic,175.64,Android,0,1924.57,Cluster 1
58,26,3,12,1,18,Free,6.75,Android,1,92.98,Cluster 4
59,32,5,35,4,16,Free,15.64,Android,0,99.91,Cluster 2
60,36,25,72,25,97,Basic,222.14,iOS,0,1160.85,Cluster 1
61,23,3,14,1,9,Free,0.11,Android,1,5.56,Cluster 4
62,26,3,10,2,8,Basic,4.93,iOS,1,48.71,Cluster 4
63,42,7,23,5,26,Free,26.05,Android,0,45.69,Cluster 2
64,34,10,13,0,80,Basic,50.62,Android,1,165.4,Cluster 3
65,28,3,23,0,19,Free,8.39,Android,1,58.89,Cluster 4
66,42,4,24,3,26,Free,1.8,iOS,0,59.55,Cluster 2
67,37,30,89,22,81,Premium,295.62,iOS,0,1209.76,Cluster 1
68,33,30,82,20,94,Premium,291.98,iOS,0,1200.32,Cluster 1
69,48,7,33,4,26,Free,8.61,iOS,1,170.08,Cluster 2
70,40,9,23,4,19,Basic,0.78,iOS,1,154.76,Cluster 2
71,46,8,39,4,27,Free,13.13,iOS,1,89.59,Cluster 2
72,40,29,82,30,71,Premium,148.68,iOS,0,1436.27,Cluster 1
73,32,6,14,3,11,Free,7.5,Android,1,48.99,Cluster 4
74,36,29,85,26,82,Premium,121.3,iOS,0,1443.68,Cluster 1
75,25,5,12,0,19,Free,8.68,iOS,1,32.15,Cluster 4
76,28,6,19,0,17,Free,0.63,Android,0,13.58,Cluster 4
77,45,5,31,4,22,Free,15.09,iOS,1,190.29,Cluster 2
78,24,18,16,0,97,Free,24.85,Android,0,196,Cluster 3
79,32,26,88,23,84,Premium,166.89,iOS,0,1720.08,Cluster 1
80,30,6,28,4,18,Premium,1.97,Android,1,137.37,Cluster 2
81,29,1,9,3,7,Free,4.9,iOS,0,13.34,Cluster 4
82,43,6,30,6,12,Basic,16.25,Android,1,114.97,Cluster 2
83,24,5,15,3,3,Free,3.81,Android,1,12.28,Cluster 4
84,25,2,15,0,14,Free,1.74,Android,1,67.39,Cluster 4
85,28,3,10,1,4,Free,6.26,iOS,1,78.92,Cluster 4
86,42,7,31,7,24,Basic,8.08,Android,1,21.62,Cluster 2
87,39,27,81,22,72,Premium,262.66,iOS,0,1850.62,Cluster 1
88,19,2,15,1,4,Free,9.84,Android,1,72.72,Cluster 4
89,22,14,27,0,68,Free,17.36,iOS,0,297.84,Cluster 3
90,52,4,40,3,15,Free,5.69,Android,1,156.25,Cluster 2
91,31,10,25,2,96,Free,39.62,iOS,0,330.43,Cluster 3
92,36,3,9,0,13,Basic,8.85,iOS,1,29.67,Cluster 4
93,32,2,6,3,18,Free,1.46,Android,1,92.05,Cluster 4
94,34,30,68,24,92,Basic,367.54,Android,0,1758.42,Cluster 1
95,34,10,12,1,98,Free,31.22,iOS,1,231.62,Cluster 3
96,41,28,71,21,88,Premium,178.58,Android,0,1946.77,Cluster 1
97,45,7,41,4,10,Free,18.02,Android,0,165.29,Cluster 2
98,25,30,89,30,70,Premium,293.6,Android,0,1365.72,Cluster 1
99,22,1,14,1,13,Free,8.61,Android,1,8.12,Cluster 4
100,32,4,22,3,5,Basic,9.69,Android,0,34.03,Cluster 4
101,32,4,27,3,19,Free,16.77,Android,1,188.43,Cluster 2
102,46,10,21,3,22,Free,11.51,iOS,1,68.31,Cluster 2
103,23,1,15,3,6,Free,9.37,iOS,1,79.64,Cluster 4
104,24,1,6,3,5,Free,4.61,iOS,0,42.28,Cluster 4
105,38,25,70,28,81,Basic,330.42,iOS,0,1761.54,Cluster 1
106,35,16,18,0,71,Free,13.96,Android,1,192.14,Cluster 3
107,25,18,27,0,84,Premium,15.58,Android,1,118.62,Cluster 3
108,35,27,67,20,79,Basic,294.43,Android,0,1120.56,Cluster 1
109,30,7,40,3,11,Free,26.21,iOS,1,147.76,Cluster 2
110,25,16,28,0,74,Premium,12.38,Android,0,255.95,Cluster 3
111,26,17,13,1,76,Free,37.15,iOS,0,240.33,Cluster 3
112,38,7,33,7,24,Premium,19.81,Android,1,8.93,Cluster 2
113,27,10,17,1,70,Basic,13.68,iOS,0,126.31,Cluster 3
114,50,9,28,8,29,Free,19.75,iOS,0,80.93,Cluster 2
115,34,28,73,22,89,Premium,243.86,iOS,0,1862.5,Cluster 1
116,22,5,5,3,1,Free,9.03,iOS,1,52.72,Cluster 4
117,28,3,10,2,10,Free,6.61,Android,1,16.2,Cluster 4
118,30,26,68,23,92,Basic,344.15,Android,0,1642.78,Cluster 1
119,42,9,38,3,17,Basic,22.43,Android,0,48.18,Cluster 2
120,28,12,21,2,93,Basic,17.89,Android,0,231.9,Cluster 3
121,50,9,24,3,15,Premium,28.79,Android,1,117.83,Cluster 2
122,24,18,17,0,91,Free,41.03,Android,0,349.52,Cluster 3
123,34,25,75,22,73,Premium,341.21,Android,0,1559.96,Cluster 1
124,34,12,14,2,89,Free,23,iOS,0,138.97,Cluster 3
125,29,1,18,1,15,Free,1.96,iOS,1,44.52,Cluster 4
126,23,18,11,0,62,Free,19.15,Android,0,163.48,Cluster 3
127,30,4,21,3,5,Free,0,Android,1,57.72,Cluster 4
128,32,2,20,1,18,Free,8.28,Android,1,57.4,Cluster 4
129,33,5,11,0,1,Free,4.83,Android,1,10.74,Cluster 4
130,39,30,79,21,99,Premium,253.01,iOS,0,1891.87,Cluster 1
131,42,4,38,6,26,Basic,12.1,iOS,1,79.35,Cluster 2
132,38,7,32,4,24,Free,13.58,iOS,0,59.71,Cluster 2
133,49,6,34,4,13,Basic,19.37,Android,1,102.52,Cluster 2
134,25,2,16,1,19,Free,1.75,Android,1,9.41,Cluster 4
135,33,18,18,1,97,Free,36.07,iOS,0,210.31,Cluster 3
136,36,30,86,25,87,Premium,273.62,iOS,0,1553.46,Cluster 1
137,34,4,42,4,15,Basic,27.8,Android,1,68.04,Cluster 2
138,30,30,67,26,80,Premium,250.28,Android,0,1300.39,Cluster 1
139,24,10,11,2,75,Free,40.6,Android,1,241.57,Cluster 3
140,41,5,26,3,18,Free,29.46,Android,1,152.66,Cluster 2
141,46,8,34,7,27,Free,8.52,Android,1,46.15,Cluster 2
142,48,9,45,3,28,Free,22.42,Android,1,160.65,Cluster 2
143,26,11,13,2,75,Basic,56.23,iOS,1,366.79,Cluster 3
144,42,7,34,5,24,Free,9.83,Android,1,177.86,Cluster 2
145,30,4,9,3,3,Free,4.27,iOS,1,40.48,Cluster 4
146,44,4,42,4,23,Basic,21.79,iOS,1,46.8,Cluster 2
147,41,8,24,7,12,Free,27.53,iOS,1,192.28,Cluster 2
148,38,2,8,0,19,Free,8.29,Android,1,9.17,Cluster 4
149,44,28,62,28,91,Premium,356.93,iOS,0,1677.91,Cluster 1
150,34,26,85,25,96,Premium,134.63,Android,0,1956.8,Cluster 1
151,20,5,14,0,16,Free,3.2,iOS,1,66.31,Cluster 4
152,22,15,21,1,86,Free,31.84,iOS,0,205.84,Cluster 3
153,40,30,83,27,72,Premium,385.33,iOS,0,1058.5,Cluster 1
154,29,16,28,1,81,Premium,49.1,iOS,1,167.62,Cluster 3
155,21,4,13,1,5,Free,1.1,iOS,1,81.99,Cluster 4
156,29,30,60,21,81,Premium,159.51,iOS,0,1572.76,Cluster 1
157,25,4,6,3,13,Free,5.68,Android,1,54.7,Cluster 4
158,28,15,20,0,69,Free,35.49,iOS,0,399.37,Cluster 3
159,30,12,20,1,63,Basic,28.9,Android,0,320.15,Cluster 3
160,25,6,14,1,19,Free,9.8,iOS,1,49.95,Cluster 4
161,30,1,17,1,16,Basic,4.5,iOS,0,0.46,Cluster 4
162,28,20,24,1,85,Premium,24.25,iOS,1,119.33,Cluster 3
163,32,15,24,2,64,Basic,17.78,iOS,0,346.96,Cluster 3
164,19,1,21,2,18,Free,3.67,iOS,1,62.35,Cluster 4
165,22,17,30,0,98,Basic,11.86,iOS,1,215.26,Cluster 3
166,32,29,66,23,71,Premium,277.5,iOS,0,1009.97,Cluster 1
167,36,10,33,8,21,Basic,16.62,iOS,1,36.64,Cluster 2
168,31,25,60,22,98,Basic,339.69,Android,0,1087.77,Cluster 1
169,27,18,27,2,90,Free,35.25,Android,1,303.3,Cluster 3
170,38,6,44,7,24,Basic,12.26,iOS,1,179.13,Cluster 2
171,36,6,21,6,27,Free,21.88,Android,1,161.17,Cluster 2
172,20,4,20,3,15,Free,9.01,Android,1,22.15,Cluster 4
173,19,1,11,3,13,Free,3.72,Android,1,79.08,Cluster 4
174,18,5,18,1,5,Free,6.6,Android,1,78.43,Cluster 4
175,34,6,6,0,14,Free,8.06,iOS,1,7.2,Cluster 4
176,45,6,33,8,14,Basic,7.83,iOS,1,173.66,Cluster 2
177,35,2,15,1,20,Free,8.51,Android,1,66.25,Cluster 4
178,43,8,34,3,25,Basic,28.93,iOS,1,190.93,Cluster 2
179,29,10,14,0,76,Basic,25.82,iOS,0,263.58,Cluster 3
180,48,6,29,3,11,Free,8.38,iOS,1,18.47,Cluster 2
181,22,18,14,1,69,Basic,36.65,iOS,1,168.45,Cluster 3
182,29,29,69,29,80,Premium,325.98,iOS,0,1238.93,Cluster 1
183,31,1,17,3,4,Free,9.44,Android,1,29.28,Cluster 4
184,40,6,40,7,26,Basic,25.48,Android,1,87.47,Cluster 2
185,29,10,30,0,99,Free,46.13,Android,1,274.06,Cluster 3
186,32,4,20,3,15,Free,2.81,Android,1,35.84,Cluster 4
187,28,10,29,1,98,Free,57.77,iOS,0,139.48,Cluster 3
188,20,3,8,1,13,Free,8.96,Android,1,72.85,Cluster 4
189,22,3,14,3,7,Basic,7.66,Android,1,58.97,Cluster 4
190,31,30,90,21,92,Premium,225.34,iOS,0,1171.73,Cluster 1
191,26,11,18,2,78,Basic,11.72,iOS,1,251.17,Cluster 3
192,31,26,79,27,71,Basic,366.99,iOS,0,1581.99,Cluster 1
193,33,6,34,6,23,Free,20.78,iOS,1,87.43,Cluster 2
194,21,3,20,1,18,Free,8.63,iOS,1,48.76,Cluster 4
195,31,28,68,28,83,Premium,138.34,Android,0,1979.13,Cluster 1
196,31,1,7,2,18,Free,1.41,Android,1,43.36,Cluster 4
197,41,9,38,4,11,Free,5.78,Android,1,149.83,Cluster 2
198,27,18,17,2,77,Basic,54.13,Android,1,225.91,Cluster 3
199,37,28,88,27,86,Premium,382.97,iOS,0,1310.67,Cluster 1
200,37,7,39,5,10,Basic,20.95,iOS,1,40.68,Cluster 2
201,26,6,6,0,12,Free,0.29,iOS,0,56.07,Cluster 4
202,40,28,62,21,70,Premium,347.91,iOS,0,1603.34,Cluster 1
203,38,28,62,20,72,Premium,105.24,Android,0,1972.58,Cluster 1
204,34,28,60,27,71,Premium,240.43,iOS,0,1581.79,Cluster 1
205,31,28,76,20,70,Premium,145.37,Android,0,1137.64,Cluster 1
206,24,3,7,3,20,Free,7.08,Android,1,13.88,Cluster 4
207,35,10,25,8,24,Premium,13.21,iOS,1,81.59,Cluster 2
208,47,7,41,4,16,Free,13.39,Android,1,49.51,Cluster 2
209,36,3,6,3,2,Free,3.92,Android,1,11.15,Cluster 4
210,42,9,40,3,28,Free,13.4,iOS,0,27.05,Cluster 2
211,31,13,15,0,64,Free,18.05,Android,1,175.93,Cluster 3
212,49,9,40,8,20,Free,2.27,iOS,1,7.47,Cluster 2
213,46,5,41,4,27,Free,18.9,Android,0,123.1,Cluster 2
214,27,13,14,0,71,Free,19.96,iOS,1,228.45,Cluster 3
215,35,17,15,2,75,Free,11.24,iOS,1,333.95,Cluster 3
216,27,10,13,2,63,Basic,58.18,iOS,1,312.61,Cluster 3
217,32,29,67,20,94,Premium,112.74,Android,0,1601.24,Cluster 1
218,38,30,62,27,85,Premium,284.17,iOS,1,1561.67,Cluster 1
219,29,10,28,1,74,Basic,56.89,iOS,0,192,Cluster 3
220,37,5,44,7,27,Basic,3.47,iOS,1,103.88,Cluster 2
221,33,27,62,24,79,Basic,347.92,iOS,0,1100.4,Cluster 1
222,42,30,80,27,70,Premium,396.3,Android,0,1108.79,Cluster 1
223,35,29,70,21,96,Premium,135.82,iOS,0,1475.58,Cluster 1
224,25,15,25,0,70,Free,34.92,Android,1,115.89,Cluster 3
225,37,29,87,26,81,Premium,166.82,iOS,0,1705.02,Cluster 1
226,38,29,66,21,84,Basic,397.18,iOS,0,1715.1,Cluster 1
227,35,17,27,0,92,Basic,22.19,iOS,1,133.88,Cluster 3
228,30,10,20,0,89,Basic,29.11,iOS,1,321.56,Cluster 3
229,40,27,65,27,92,Premium,366.07,Android,0,1366.71,Cluster 1
230,35,4,23,0,5,Free,9.78,Android,1,11.81,Cluster 4
231,29,20,11,1,73,Basic,47.19,iOS,1,388.44,Cluster 3
232,43,4,41,4,14,Free,7.22,Android,1,94.32,Cluster 2
233,18,6,24,2,4,Free,1.04,Android,1,42.6,Cluster 4
234,39,6,24,6,27,Free,6.27,iOS,0,81.88,Cluster 2
235,34,20,23,2,86,Free,52.12,iOS,1,129.55,Cluster 3
236,31,30,83,24,87,Premium,138.99,iOS,0,1850.04,Cluster 1
237,36,4,22,0,16,Free,5.39,Android,1,48.58,Cluster 4
238,27,16,20,1,69,Free,13.53,iOS,0,186.21,Cluster 3
239,40,10,42,6,17,Free,28.43,iOS,1,44.85,Cluster 2
240,26,2,10,1,10,Free,8.7,iOS,1,33.61,Cluster 4
241,27,3,15,0,1,Free,5.69,Android,1,58.56,Cluster 4
242,26,4,17,0,3,Free,2.71,Android,1,97.1,Cluster 4
243,26,16,24,2,89,Free,50.32,iOS,1,325.33,Cluster 3
244,29,4,12,2,18,Free,9.42,Android,1,62.34,Cluster 4
245,35,29,62,28,90,Premium,351.52,Android,0,1032.06,Cluster 1
246,33,5,22,4,13,Free,22.44,Android,0,161.14,Cluster 2
247,30,14,10,1,81,Basic,17.84,iOS,1,285.41,Cluster 3
248,29,5,21,3,3,Free,7.52,iOS,1,17.71,Cluster 4
249,35,28,85,23,89,Premium,242.03,Android,0,1472.91,Cluster 1
250,24,1,5,2,0,Free,4.9,Android,1,82.84,Cluster 4
251,40,8,43,4,23,Free,2.11,Android,1,141.51,Cluster 2
252,28,16,21,1,63,Basic,20.32,iOS,1,171.15,Cluster 3
253,28,11,29,1,97,Free,50.78,Android,1,224.06,Cluster 3
254,33,28,83,30,90,Premium,283.84,Android,0,1174.84,Cluster 1
255,22,2,23,2,0,Free,4.64,Android,1,8.97,Cluster 4
256,39,30,86,30,92,Premium,233.88,iOS,0,1918.11,Cluster 1
257,24,4,23,1,10,Free,1.39,Android,1,1.14,Cluster 4
258,31,29,83,27,98,Premium,367.38,Android,0,1565.56,Cluster 1
259,42,25,74,28,87,Premium,128.58,Android,1,1260.28,Cluster 1
260,23,5,16,2,8,Free,0.67,Android,1,54.95,Cluster 4
261,30,5,20,2,19,Free,9.98,iOS,0,23.98,Cluster 4
262,26,16,14,1,70,Basic,15.34,Android,0,131.27,Cluster 3
263,51,8,27,4,25,Basic,23.07,Android,0,149.65,Cluster 2
264,26,5,7,2,14,Free,7.58,iOS,1,70.29,Cluster 4
265,20,5,12,2,17,Free,6.52,iOS,1,6.62,Cluster 4
266,28,2,7,2,15,Free,2.07,iOS,0,37.4,Cluster 4
267,25,13,28,1,78,Free,28.8,iOS,1,179.94,Cluster 3
268,32,26,66,26,93,Premium,193.15,Android,0,1338.46,Cluster 1
269,31,16,13,2,96,Basic,34.57,iOS,1,374.18,Cluster 3
270,22,11,26,1,63,Basic,37.35,Android,1,362.84,Cluster 3
271,25,5,13,1,11,Free,4.66,Android,1,49.12,Cluster 4
272,26,1,11,0,19,Free,3.03,iOS,1,28.66,Cluster 4
273,34,30,82,29,80,Basic,228.8,iOS,0,1991.09,Cluster 1
274,49,8,23,3,14,Premium,5.26,iOS,1,129.15,Cluster 2
275,44,5,37,8,15,Free,18.7,iOS,1,10.55,Cluster 2
276,28,18,27,2,62,Premium,44.34,iOS,0,357.72,Cluster 3
277,37,7,30,4,27,Free,2.4,Android,1,155.31,Cluster 2
278,27,13,26,2,80,Free,36.14,Android,1,387,Cluster 3
279,22,3,6,3,19,Free,7.28,Android,1,75.19,Cluster 4
280,25,3,19,2,9,Free,8.46,Android,1,58.61,Cluster 4
281,44,6,39,5,25,Free,6.23,iOS,1,66.06,Cluster 2
282,34,12,29,2,91,Free,40.09,Android,0,133.55,Cluster 3
283,26,28,77,25,83,Premium,290.76,iOS,0,1835.6,Cluster 1
284,46,5,24,6,26,Premium,20.28,Android,1,90.88,Cluster 2
285,34,26,67,23,71,Premium,204.93,Android,0,1071.89,Cluster 1
286,35,26,80,22,76,Premium,145.33,iOS,0,1214.54,Cluster 1
287,30,2,12,0,7,Free,5.96,iOS,1,74.5,Cluster 4
288,27,20,22,0,89,Free,26.6,iOS,1,116.7,Cluster 3
289,39,7,31,4,19,Premium,3.47,iOS,1,75.64,Cluster 2
290,38,30,74,23,95,Premium,129.66,Android,0,1901.46,Cluster 1
291,28,30,70,24,78,Premium,199.79,iOS,0,1046.9,Cluster 1
292,26,3,12,0,10,Free,6.99,iOS,1,57.53,Cluster 4
293,28,20,18,1,79,Free,11.61,iOS,0,320.18,Cluster 3
294,43,7,43,7,21,Free,10.37,iOS,1,167.78,Cluster 2
295,34,29,76,22,72,Basic,298.34,Android,0,1500.86,Cluster 1
296,33,3,15,3,18,Free,0.54,Android,0,63.77,Cluster 4
297,36,1,12,3,10,Free,1.82,Android,0,61.2,Cluster 4
298,22,14,13,1,72,Free,39.37,iOS,0,279.41,Cluster 3
299,38,5,27,8,11,Basic,28.65,Android,0,81.58,Cluster 2
300,27,1,17,0,10,Free,8,iOS,1,14.21,Cluster 4
301,33,29,72,29,92,Premium,326.34,iOS,0,1431.43,Cluster 1
302,35,30,87,20,72,Basic,250.84,Android,0,1994.7,Cluster 1
303,41,7,36,3,30,Free,12.03,iOS,1,104.71,Cluster 2
304,21,1,9,3,3,Free,0.89,iOS,1,32.58,Cluster 4
305,35,14,24,1,78,Free,55.33,iOS,0,228.44,Cluster 3
306,27,1,18,1,6,Free,9.05,Android,1,24.25,Cluster 4
307,26,20,16,1,95,Basic,43.74,iOS,1,196.97,Cluster 3
308,28,19,14,1,61,Free,40.57,Android,0,149.54,Cluster 3
309,45,30,71,24,72,Basic,364.89,Android,0,1907.27,Cluster 1
310,27,19,24,2,63,Free,32.3,iOS,1,103.65,Cluster 3
311,48,10,38,8,29,Free,4.77,Android,0,112.77,Cluster 2
312,41,30,90,21,83,Premium,151.69,iOS,0,1387.5,Cluster 1
313,24,20,15,0,97,Free,49.5,iOS,1,106.2,Cluster 3
314,51,6,41,6,21,Basic,5.83,iOS,1,117.33,Cluster 2
315,21,4,18,1,8,Basic,1.23,Android,0,90.55,Cluster 4
316,26,19,16,0,60,Free,57.78,iOS,0,306.58,Cluster 3
317,26,20,29,1,82,Basic,26.42,Android,1,154.9,Cluster 3
318,36,30,69,20,80,Basic,381.13,Android,0,1853.11,Cluster 1
319,31,30,62,27,83,Premium,113.08,Android,1,1804.28,Cluster 1
320,24,20,15,0,87,Free,25.83,Android,0,301.18,Cluster 3
321,40,5,22,7,20,Free,11.72,iOS,1,115.97,Cluster 2
322,25,25,74,21,73,Premium,121.01,Android,0,1692.34,Cluster 1
323,43,4,43,7,21,Free,17.49,Android,1,151.8,Cluster 2
324,35,28,69,26,72,Premium,354.57,iOS,0,1883.39,Cluster 1
325,31,11,28,0,99,Free,25.6,iOS,0,289.07,Cluster 3
326,35,20,15,1,92,Free,31.16,iOS,1,328.97,Cluster 3
327,34,25,80,23,85,Premium,374.14,iOS,0,1205.6,Cluster 1
328,28,6,20,0,11,Free,1.61,Android,1,66.86,Cluster 4
329,31,18,27,1,61,Basic,29.64,iOS,1,363.71,Cluster 3
330,28,2,6,0,6,Free,7.9,Android,1,76.68,Cluster 4
331,38,7,35,3,15,Free,0.41,Android,1,49.52,Cluster 2
332,25,1,6,2,14,Free,9.04,Android,1,92.07,Cluster 4
333,35,30,85,20,86,Premium,179.95,Android,0,1681.26,Cluster 1
334,27,14,12,0,94,Free,28.45,Android,1,181.67,Cluster 3
335,35,30,85,26,72,Premium,346.83,Android,0,1402.27,Cluster 1
336,38,8,32,7,30,Premium,18.06,iOS,0,80.56,Cluster 2
337,44,6,35,6,20,Free,29.98,Android,1,193.76,Cluster 2
338,28,1,18,1,2,Free,4.49,iOS,1,79.75,Cluster 4
339,43,6,45,4,24,Free,24.56,Android,1,85.58,Cluster 2
340,35,20,21,0,88,Basic,44.01,Android,1,331.49,Cluster 3
341,33,15,13,2,68,Free,32.69,iOS,1,106.29,Cluster 3
342,31,6,17,1,13,Free,8.67,iOS,1,75,Cluster 4
343,22,14,30,2,84,Free,44.63,iOS,0,272.63,Cluster 3
344,24,1,9,3,7,Free,6.93,iOS,0,41.24,Cluster 4
345,33,27,68,28,74,Premium,165.69,Android,1,1425.51,Cluster 1
346,27,4,17,1,17,Free,8.8,iOS,1,39.52,Cluster 4
347,30,13,22,2,62,Basic,15.56,Android,0,268.2,Cluster 3
348,35,13,18,1,96,Basic,25.82,iOS,1,310.15,Cluster 3
349,31,5,16,3,8,Free,9.71,iOS,1,22.5,Cluster 4
350,30,11,23,1,79,Basic,59.43,iOS,1,326.57,Cluster 3
351,32,28,80,23,89,Premium,189.8,iOS,0,1797.08,Cluster 1
352,22,1,8,0,7,Free,9.84,Android,1,18.78,Cluster 4
353,26,20,29,2,83,Premium,16.56,Android,0,388,Cluster 3
354,38,6,38,5,23,Premium,5.7,iOS,1,30.63,Cluster 2
355,31,29,81,21,95,Premium,340.24,iOS,0,1786.3,Cluster 1
356,24,12,18,0,68,Free,18.28,iOS,0,361.28,Cluster 3
357,41,29,90,28,94,Premium,309.1,iOS,0,1572.08,Cluster 1
358,25,1,15,3,17,Free,0.87,Android,1,90.37,Cluster 4
359,34,29,84,30,95,Premium,290.24,iOS,0,1425.33,Cluster 1
360,29,28,87,22,79,Basic,143.53,iOS,0,1027.17,Cluster 1
361,30,3,12,1,18,Free,5.09,iOS,1,23.69,Cluster 4
362,21,4,16,2,0,Free,4.65,Android,1,32.11,Cluster 4
363,33,29,64,26,81,Premium,250.49,iOS,0,1191.28,Cluster 1
364,43,10,21,3,29,Basic,7.5,iOS,1,45.94,Cluster 2
365,37,9,22,5,25,Free,27.77,Android,1,186.21,Cluster 2
366,25,18,12,0,84,Free,23.47,iOS,0,149.97,Cluster 3
367,42,26,71,28,96,Premium,194.02,Android,0,1501.58,Cluster 1
368,40,29,77,30,79,Premium,302.64,Android,0,1764.66,Cluster 1
369,22,19,25,1,77,Free,13.81,iOS,1,196.18,Cluster 3
370,36,29,83,28,98,Premium,135.13,iOS,0,1705.43,Cluster 1
371,29,2,17,0,0,Free,4.69,iOS,1,15.51,Cluster 4
372,46,4,32,3,12,Free,27.76,Android,1,170.2,Cluster 2
373,28,4,6,1,1,Free,4.36,Android,1,7.78,Cluster 4
374,44,6,26,6,29,Premium,0.04,iOS,1,20,Cluster 2
375,22,15,29,2,63,Premium,47.07,Android,0,184.8,Cluster 3
376,36,8,26,3,22,Premium,20.29,Android,1,187.61,Cluster 2
377,39,8,41,8,17,Premium,8.51,Android,1,24.05,Cluster 2
378,42,4,39,3,26,Free,10.8,Android,1,108.2,Cluster 2
379,43,8,38,3,25,Basic,4.49,iOS,0,173.99,Cluster 2
380,31,11,22,1,100,Basic,49.36,iOS,1,180.95,Cluster 3
381,25,16,27,0,84,Basic,44.2,iOS,0,141.34,Cluster 3
382,33,28,79,26,79,Premium,329.84,iOS,0,1793.17,Cluster 1
